fipscode,state,county,year,v001_rawvalue,v009_rawvalue,v011_rawvalue,v036_rawvalue,v042_rawvalue,v049_rawvalue,v060_rawvalue,v070_rawvalue,v139_rawvalue,v143_rawvalue,county_ranked
29143,MO,New Madrid County,2018,10804.79762,0.266978037,0.358,5.39229882,5.038741202,0.140079462,0.129,0.344,0.197,0.361209027,1
29145,MO,Newton County,2018,8439.77112,0.210691114,0.358,4.603427908,4.374901682,0.17144346,0.105,0.288,0.131,0.343980455,1
29147,MO,Nodaway County,2018,5981.582979,0.217889722,0.329,4.733597251,4.666059015,0.17994406,0.108,0.284,0.194,0.32747466,1
29149,MO,Oregon County,2018,11440.42418,0.236895383,0.312,4.999800835,4.80945373,0.156393813,0.113,0.293,0.172,0.336611,1
29151,MO,Osage County,2018,5643.957784,0.178940375,0.326,3.931560459,3.922548623,0.200868238,0.125,0.277,0.108,0.309449311,1
29153,MO,Ozark County,2018,9629.585124,0.235834809,0.324,5.154437999,4.815528427,0.136798853,0.145,0.301,0.174,0.322950194,1
29155,MO,Pemiscot County,2018,16218.06843,0.273784823,0.355,5.740606967,5.023191976,0.141659478,0.152,0.394,0.246,0.366065191,1
29157,MO,Perry County,2018,5655.765736,0.195700936,0.363,4.169365341,4.24475282,0.183558565,0.117,0.284,0.115,0.324434078,1
29159,MO,Pettis County,2018,7835.039837,0.226228616,0.355,4.667335197,4.539248062,0.166877317,0.12,0.255,0.145,0.32764917,1
29161,MO,Phelps County,2018,8899.041882,0.213113626,0.296,4.648608565,4.40495126,0.183629193,0.12,0.298,0.165,0.334837174,1
29163,MO,Pike County,2018,8184.080844,0.226572856,0.312,4.427432134,4.449577568,0.181917463,0.13,0.28,0.147,0.332715419,1
29165,MO,Platte County,2018,4936.098267,0.184875839,0.344,3.85571226,3.750875477,0.194534993,0.112,0.217,0.122,0.3304334,1
29167,MO,Polk County,2018,8579.539454,0.214262293,0.344,4.607163185,4.518197285,0.16646894,0.112,0.274,0.155,0.325203002,1
29169,MO,Pulaski County,2018,7618.233604,0.216145009,0.303,4.436872067,4.078722891,0.222030848,0.082,0.249,0.163,0.346887701,1
29171,MO,Putnam County,2018,6493.418068,0.219665674,0.313,4.766873911,4.578391225,0.153652349,0.138,0.309,0.144,0.327031962,1
29173,MO,Ralls County,2018,5677.598134,0.184727143,0.314,4.279140236,4.210707264,0.171738568,0.134,0.299,0.123,0.314068372,1
29175,MO,Randolph County,2018,9120.004353,0.212669781,0.377,4.806829797,4.377091683,0.183086115,0.122,0.314,0.162,0.32696242,1
29177,MO,Ray County,2018,8762.822262,0.203812282,0.38,4.155795499,4.192098521,0.175821247,0.124,0.33,0.138,0.323867776,1
29179,MO,Reynolds County,2018,12054.86414,0.230870225,0.334,5.0589266,4.699833963,0.155201049,0.126,0.319,0.161,0.329435632,1
29181,MO,Ripley County,2018,10622.89305,0.261493003,0.359,5.333384365,4.944541191,0.158460408,0.124,0.324,0.173,0.345609369,1
29183,MO,St. Charles County,2018,5199.909587,0.168088821,0.259,3.509113617,3.777294212,0.21534238,0.083,0.241,0.104,0.32109572,1
29185,MO,St. Clair County,2018,9698.746392,0.21306364,0.314,4.764722802,4.551830256,0.149482515,0.129,0.29,0.168,0.316960158,1
29186,MO,Ste. Genevieve Count,2018,6789.200327,0.197874514,0.329,4.187301205,4.267425487,0.189601254,0.123,0.334,0.132,0.316859794,1
29187,MO,St. Francois County,2018,10553.79595,0.240333178,0.336,4.539654917,4.477537428,0.187934304,0.119,0.326,0.168,0.364579253,1
29189,MO,St. Louis County,2018,6946.377592,0.183921273,0.292,3.568740142,3.762512739,0.196818672,0.116,0.227,0.154,0.318350905,1
29195,MO,Saline County,2018,7466.793797,0.225716219,0.35,4.678360473,4.612213797,0.166730508,0.114,0.316,0.142,0.343360934,1
29197,MO,Schuyler County,2018,5533.693607,0.241866147,0.328,5.003708968,4.71707096,0.164532723,0.115,0.297,0.16,0.330530717,1
29199,MO,Scotland County,2018,7592.248856,0.218378742,0.325,4.817118094,4.580129402,0.166467077,0.105,0.297,0.139,0.321635343,1
29201,MO,Scott County,2018,10000.67785,0.230188603,0.35,5.15586752,4.525912555,0.154160774,0.146,0.288,0.17,0.332128823,1
29203,MO,Shannon County,2018,9804.918002,0.235831547,0.334,4.907697937,4.662400993,0.155648672,0.125,0.295,0.172,0.339496295,1
29205,MO,Shelby County,2018,7985.781049,0.205085063,0.353,4.496340716,4.37537426,0.165894256,0.111,0.267,0.15,0.322916617,1
29207,MO,Stoddard County,2018,9234.148242,0.236263388,0.346,4.861503559,4.572228029,0.162310656,0.139,0.348,0.154,0.341662313,1
29209,MO,Stone County,2018,8122.176248,0.186721757,0.336,4.401464727,4.280106163,0.147933048,0.135,0.296,0.151,0.324005633,1
29211,MO,Sullivan County,2018,7029.003229,0.212545879,0.347,4.69348089,4.384925842,0.161040467,0.128,0.342,0.118,0.341311952,1
29213,MO,Taney County,2018,8470.098009,0.21441211,0.31,4.802497615,4.548085768,0.163326324,0.115,0.282,0.172,0.319708461,1
29215,MO,Texas County,2018,9463.922545,0.242880312,0.332,5.091231389,4.768350229,0.157237465,0.131,0.282,0.164,0.335176391,1
29217,MO,Vernon County,2018,9564.408314,0.221177571,0.342,4.773115904,4.587155109,0.16283874,0.123,0.272,0.154,0.333320319,1
29219,MO,Warren County,2018,7881.296988,0.19206893,0.3,4.12162745,4.138540356,0.188509586,0.122,0.251,0.128,0.311403006,1
29221,MO,Washington County,2018,12544.39277,0.251252424,0.325,5.010517131,4.62697486,0.173583941,0.128,0.321,0.161,0.354177071,1
29223,MO,Wayne County,2018,12357.33248,0.244448463,0.341,5.188105663,4.891243432,0.150590095,0.138,0.352,0.159,0.321206326,1
29225,MO,Webster County,2018,7881.151068,0.233586142,0.335,5.025387948,4.637157553,0.173703518,0.108,0.263,0.147,0.32846874,1
29227,MO,Worth County,2018,11363.93127,0.202933742,0.304,4.536883789,4.436372454,0.160615202,0.12,0.288,0.127,0.318258605,1
29229,MO,Wright County,2018,9527.210647,0.257566717,0.32,5.256310453,4.910756783,0.146993393,0.124,0.305,0.176,0.327665707,1
29510,MO,St. Louis city,2018,11239.69898,0.246863082,0.326,4.968806181,4.993040983,0.206272957,0.126,0.237,0.257,0.371987565,1
30001,MT,Beaverhead County,2018,7682.376122,0.156919132,0.248,3.419658551,3.291127364,0.211206566,0.073,0.21,0.132,0.256985943,1
30003,MT,Big Horn County,2018,16464.39017,0.256872896,0.379,5.391021088,4.5374438,0.170955584,0.134,0.25,0.177,0.327719805,1
30005,MT,Blaine County,2018,13661.60599,0.263868691,0.366,4.895417355,4.241861799,0.197247729,0.114,0.28,0.17,0.311842679,1
30007,MT,Broadwater County,2018,10274.30282,0.155772838,0.3,3.309387982,3.213020538,0.200585156,0.09,0.245,0.113,0.258001321,1
30009,MT,Carbon County,2018,6896.539381,0.141156222,0.253,3.062275606,3.148774931,0.200329219,0.087,0.224,0.109,0.249956252,1
30013,MT,Cascade County,2018,7654.021761,0.183949192,0.273,3.719550914,3.642407962,0.214168651,0.092,0.212,0.134,0.297113627,1
30015,MT,Chouteau County,2018,10221.00515,0.206942825,0.283,4.14372875,3.857293072,0.187345941,0.09,0.283,0.152,0.293012785,1
30017,MT,Custer County,2018,6809.433411,0.17441353,0.308,3.111450304,3.225054593,0.212835367,0.098,0.288,0.115,0.26788661,1
30019,MT,Daniels County,2018,8279.144919,0.127300617,0.259,2.878411466,3.022245431,0.206167,0.093,0.274,0.09,0.246413165,1
30021,MT,Dawson County,2018,6135.385859,0.156295306,0.271,3.308754914,3.116570251,0.213469403,0.08,0.26,0.118,0.258485623,1
30023,MT,Deer Lodge County,2018,8671.137656,0.194713397,0.247,3.93665062,3.639459422,0.18000077,0.101,0.253,0.131,0.272881095,1
30025,MT,Fallon County,2018,7521.086118,0.140285438,0.27,2.912633843,2.999550433,0.243626867,0.076,0.3,0.101,0.252517438,1
30027,MT,Fergus County,2018,6865.792941,0.158652595,0.259,3.479196877,3.297190913,0.186962587,0.089,0.232,0.123,0.263288915,1
30029,MT,Flathead County,2018,6965.201484,0.168562225,0.216,3.387269223,3.304749528,0.214224971,0.073,0.186,0.13,0.2605019,1
30031,MT,Gallatin County,2018,4265.430504,0.145810848,0.156,2.995793109,3.12944339,0.241849953,0.044,0.134,0.123,0.237732053,1
30035,MT,Glacier County,2018,14723.591,0.297920058,0.349,5.07802847,4.745985255,0.205265715,0.148,0.294,0.209,0.313657055,1
30039,MT,Granite County,2018,10748.66203,0.145265622,0.263,3.174184003,3.104002261,0.189391561,0.095,0.259,0.133,0.259539542,1
30041,MT,Hill County,2018,8320.168689,0.202508444,0.349,4.045171953,3.905467533,0.209031883,0.107,0.268,0.142,0.313568036,1
30043,MT,Jefferson County,2018,5276.511807,0.14692034,0.281,3.012595715,3.050505029,0.200429942,0.085,0.214,0.098,0.253875814,1
30045,MT,Judith Basin County,2018,6147.852069,0.145928253,0.292,3.243127154,3.161428225,0.188191608,0.079,0.293,0.118,0.248671927,1
30047,MT,Lake County,2018,8734.548003,0.19184449,0.288,4.461497252,4.227924046,0.191214848,0.106,0.233,0.148,0.29801776,1
